index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
220,239,0,2.1578,1148,1.1478,4,0.389194,0,-0.877322
221,240,0,2.16756,1152,1.1516,4,0.389194,0,-0.85825
222,241,0,2.17732,1155,1.1554,3,0.389194,-1,-0.85825
223,242,0,2.18709,1159,1.159,4,0.36871,1,-0.781961
224,243,0,2.19685,1163,1.1626,4,0.36871,0,-0.724745
225,244,0,2.20661,1166,1.1662,3,0.36871,-1,-0.781961
226,245,0,2.21638,1170,1.1696,4,0.348226,1,-0.85825
227,247,0,2.22614,1173,1.173,3,0.348226,-1,-1.04897
228,247,1,2.23591,1176,1.1764,3,0.348226,0,-1.12526
229,248,0,2.24567,1180,1.1796,4,0.327742,1,-1.29691
230,249,0,2.25543,1183,1.1826,3,0.307258,-1,-1.35413
231,250,0,2.2652,1186,1.1856,3,0.307258,0,-1.48763
232,251,0,2.27496,1188,1.1882,2,0.26629,-1,-1.58299
233,252,0,2.28472,1191,1.1908,3,0.26629,1,-1.73557
234,253,0,2.29449,1193,1.1932,2,0.245806,-1,-1.7165
235,254,0,2.30425,1196,1.1956,3,0.245806,1,-1.64021
236,255,0,2.31402,1198,1.1976,2,0.204839,-1,-1.52578
237,0,0,2.32378,1200,1.1996,2,0.204839,0,-1.3732
238,1,0,2.33354,1201,1.2012,1,0.163871,-1,-1.29691
239,2,0,2.34331,1203,1.2028,2,0.163871,1,-1.20155
240,3,0,2.35307,1204,1.2044,1,0.163871,-1,-1.18248
241,4,0,2.36283,1206,1.206,2,0.163871,1,-1.12526
242,5,0,2.3726,1208,1.2074,2,0.143387,0,-1.14433
243,6,0,2.38236,1209,1.2088,1,0.143387,-1,-1.14433
244,7,0,2.39213,1210,1.21,1,0.122903,0,-1.23969
245,8,0,2.40189,1211,1.211,1,0.102419,0,-1.33506
246,9,0,2.41165,1212,1.2118,1,0.0819355,0,-1.31598
247,10,0,2.42142,1213,1.2126,1,0.0819355,0,-1.27784
248,11,0,2.43118,1213,1.2132,0,0.0614516,-1,-1.23652
249,12,0,2.44094,1214,1.2138,1,0.0614516,1,-1.20019
250,13,0,2.45071,1214,1.2142,0,0.0409677,-1,-1.15796
251,14,0,2.46047,1215,1.2146,1,0.0409677,1,-1.06804
252,15,0,2.47024,1215,1.21475,0,0.0256048,-1,-1.04897
253,16,0,2.48,1215,1.215,0,0.0341398,0,-0.990696
